Day,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,1,49.1477,0.0379,43.392,44.814,45.644,46.084,46.761,47.217,47.891,49.148,50.404,51.078,51.535,52.212,52.651,53.481,54.904
1,1,49.3166,0.03783,43.551,44.976,45.808,46.248,46.926,47.383,48.058,49.317,50.575,51.25,51.708,52.385,52.825,53.657,55.082
2,1,49.4854,0.03776,43.711,45.138,45.971,46.412,47.091,47.549,48.225,49.485,50.746,51.422,51.88,52.559,53,53.832,55.26
3,1,49.6543,0.0377,43.869,45.299,46.134,46.575,47.255,47.714,48.392,49.654,50.917,51.594,52.053,52.733,53.175,54.009,55.439
4,1,49.8232,0.03763,44.029,45.462,46.297,46.739,47.42,47.88,48.559,49.823,51.088,51.766,52.226,52.907,53.349,54.185,55.617
5,1,49.9921,0.03756,44.19,45.624,46.461,46.904,47.586,48.046,48.726,49.992,51.259,51.938,52.398,53.081,53.524,54.36,55.795
6,1,50.1609,0.03749,44.35,45.786,46.624,47.068,47.751,48.212,48.893,50.161,51.429,52.11,52.571,53.254,53.698,54.536,55.972
7,1,50.3298,0.03742,44.51,45.948,46.788,47.232,47.916,48.378,49.06,50.33,51.6,52.282,52.743,53.428,53.872,54.711,56.15
8,1,50.4987,0.03735,44.67,46.111,46.951,47.396,48.082,48.544,49.227,50.499,51.771,52.454,52.916,53.601,54.046,54.886,56.327
9,1,50.6676,0.03728,44.83,46.273,47.115,47.561,48.247,48.71,49.394,50.668,51.942,52.625,53.088,53.775,54.22,55.062,56.505
10,1,50.8365,0.03722,44.989,46.435,47.278,47.724,48.412,48.875,49.56,50.837,52.113,52.798,53.261,53.949,54.395,55.238,56.684
11,1,51.0053,0.03715,45.15,46.597,47.441,47.889,48.577,49.041,49.727,51.005,52.283,52.969,53.434,54.122,54.569,55.413,56.861
12,1,51.1742,0.03708,45.31,46.76,47.605,48.053,48.742,49.208,49.894,51.174,52.454,53.141,53.606,54.295,54.743,55.589,57.038
13,1,51.3431,0.03701,45.471,46.923,47.769,48.218,48.908,49.374,50.061,51.343,52.625,53.313,53.778,54.469,54.917,55.764,57.215
14,1,51.512,0.03694,45.632,47.085,47.933,48.382,49.073,49.54,50.229,51.512,52.795,53.484,53.951,54.642,55.091,55.939,57.392
15,1,51.651,0.0369,45.761,47.217,48.066,48.516,49.208,49.676,50.365,51.651,52.937,53.626,54.094,54.786,55.236,56.085,57.541
16,1,51.7895,0.03687,45.889,47.347,48.198,48.649,49.342,49.81,50.502,51.79,53.077,53.769,54.237,54.93,55.381,56.232,57.69
17,1,51.9272,0.03683,46.017,47.478,48.33,48.781,49.476,49.945,50.637,51.927,53.217,53.909,54.378,55.073,55.524,56.376,57.837
18,1,52.0641,0.0368,46.143,47.607,48.461,48.913,49.609,50.078,50.772,52.064,53.356,54.05,54.52,55.216,55.668,56.521,57.985
19,1,52.2002,0.03676,46.27,47.736,48.591,49.044,49.741,50.211,50.906,52.2,53.494,54.189,54.659,55.356,55.809,56.664,58.13
20,1,52.3353,0.03673,46.395,47.863,48.72,49.173,49.872,50.343,51.039,52.335,53.632,54.328,54.799,55.497,55.951,56.807,58.276
21,1,52.4695,0.03669,46.52,47.991,48.849,49.303,50.002,50.474,51.171,52.47,53.768,54.465,54.937,55.636,56.09,56.948,58.419
22,1,52.6027,0.03666,46.643,48.117,48.976,49.431,50.131,50.604,51.302,52.603,53.903,54.601,55.074,55.775,56.23,57.089,58.562
23,1,52.7349,0.03663,46.766,48.241,49.102,49.558,50.259,50.733,51.432,52.735,54.038,54.737,55.21,55.912,56.368,57.229,58.704
24,1,52.8661,0.0366,46.887,48.365,49.227,49.683,50.386,50.861,51.561,52.866,54.171,54.871,55.346,56.049,56.505,57.367,58.845
25,1,52.9963,0.03656,47.009,48.489,49.352,49.809,50.513,50.988,51.689,52.996,54.303,55.004,55.479,56.183,56.64,57.504,58.984
26,1,53.1255,0.03653,47.128,48.611,49.475,49.933,50.638,51.114,51.817,53.126,54.434,55.137,55.613,56.318,56.776,57.64,59.123
27,1,53.2537,0.0365,47.247,48.732,49.598,50.056,50.763,51.239,51.943,53.254,54.565,55.268,55.745,56.451,56.91,57.776,59.26
28,1,53.3809,0.03647,47.365,48.852,49.719,50.179,50.886,51.363,52.068,53.381,54.694,55.399,55.876,56.583,57.042,57.91,59.397
29,1,53.5072,0.03644,47.482,48.971,49.84,50.3,51.008,51.486,52.192,53.507,54.822,55.528,56.006,56.714,57.174,58.043,59.533
30,1,53.6326,0.03641,47.598,49.09,49.96,50.421,51.13,51.609,52.315,53.633,54.95,55.657,56.135,56.845,57.305,58.175,59.667
31,1,53.7571,0.03638,47.714,49.208,50.079,50.54,51.251,51.73,52.438,53.757,55.076,55.784,56.263,56.974,57.435,58.307,59.801
32,1,53.8806,0.03636,47.827,49.323,50.196,50.658,51.37,51.85,52.559,53.881,55.202,55.911,56.391,57.103,57.565,58.438,59.935
33,1,54.0031,0.03633,47.94,49.439,50.313,50.776,51.489,51.97,52.68,54.003,55.326,56.037,56.517,57.23,57.693,58.567,60.066
