Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,0.3487,3.3464,0.14602,2.048,2.331,2.507,2.604,2.758,2.865,3.027,3.346,3.687,3.878,4.011,4.215,4.35,4.613,5.088
1,0.3127,3.3174,0.14693,2.033,2.311,2.485,2.58,2.732,2.838,3,3.317,3.657,3.85,3.983,4.188,4.324,4.59,5.072
2,0.3029,3.337,0.14676,2.049,2.327,2.501,2.597,2.75,2.856,3.018,3.337,3.679,3.872,4.007,4.212,4.35,4.618,5.104
3,0.2959,3.3627,0.14647,2.068,2.348,2.523,2.619,2.772,2.879,3.042,3.363,3.707,3.901,4.037,4.244,4.382,4.652,5.142
4,0.2903,3.3915,0.14611,2.09,2.371,2.547,2.644,2.798,2.905,3.069,3.392,3.738,3.933,4.07,4.278,4.418,4.69,5.184
5,0.2855,3.4223,0.14571,2.114,2.396,2.573,2.67,2.825,2.933,3.098,3.422,3.771,3.968,4.105,4.315,4.456,4.73,5.227
6,0.2813,3.4545,0.14528,2.138,2.422,2.6,2.697,2.853,2.962,3.128,3.455,3.805,4.003,4.142,4.353,4.495,4.771,5.272
7,0.2776,3.4879,0.14483,2.163,2.449,2.628,2.726,2.883,2.992,3.159,3.488,3.841,4.04,4.18,4.393,4.535,4.813,5.318
8,0.2742,3.5222,0.14436,2.189,2.476,2.656,2.755,2.913,3.023,3.191,3.522,3.877,4.078,4.219,4.433,4.577,4.857,5.365
9,0.2711,3.5576,0.14388,2.215,2.505,2.686,2.786,2.944,3.055,3.224,3.558,3.915,4.118,4.259,4.475,4.619,4.901,5.413
10,0.2681,3.5941,0.14339,2.242,2.534,2.717,2.817,2.977,3.088,3.259,3.594,3.954,4.158,4.3,4.518,4.663,4.947,5.463
11,0.2654,3.6319,0.1429,2.271,2.564,2.748,2.849,3.01,3.123,3.294,3.632,3.995,4.2,4.343,4.562,4.708,4.994,5.514
12,0.2628,3.671,0.14241,2.3,2.596,2.781,2.883,3.045,3.158,3.331,3.671,4.036,4.243,4.387,4.608,4.755,5.044,5.567
13,0.2604,3.7113,0.14192,2.33,2.628,2.814,2.917,3.08,3.194,3.368,3.711,4.079,4.288,4.433,4.655,4.804,5.094,5.622
14,0.2581,3.7529,0.14142,2.36,2.661,2.849,2.952,3.117,3.232,3.407,3.753,4.124,4.334,4.48,4.704,4.854,5.146,5.678
